Name		|PreTradingDate	|BeginDate		|EndDate		|TradingDate
元旦		|2014-12-31		|2015-01-01		|2015-01-03		|2015-01-05
春节		|2015-02-17		|2015-02-18		|2015-02-24		|2015-02-25
清明		|2015-04-03		|2015-04-04		|2015-04-06		|2015-04-07
五一		|2015-04-30		|2015-05-01		|2015-05-03		|2015-05-04
端午		|2015-06-19		|2015-06-20		|2015-06-22		|2015-06-23
抗战胜利	|2015-09-02		|2015-09-03		|2015-09-05		|2015-09-07
中秋		|2015-09-25		|2015-09-26		|2015-09-27		|2015-09-28
国庆		|2015-09-30		|2015-10-01		|2015-10-07		|2015-10-08
元旦		|2015-12-31		|2016-01-01		|2016-01-03		|2016-01-04
春节		|2016-02-05		|2016-02-07		|2016-02-13		|2016-02-15
清明		|2016-04-01		|2016-04-02		|2016-04-04		|2016-04-05
五一		|2016-04-29		|2016-04-30		|2016-05-02		|2016-05-03
端午		|2016-06-08		|2016-06-09		|2016-06-11		|2016-06-13
中秋		|2016-09-14		|2016-09-15		|2016-09-17		|2016-09-19
国庆		|2016-09-30		|2016-10-01		|2016-10-07		|2016-10-10
元旦		|2016-12-30		|2016-12-31		|2017-01-02		|2017-01-03
春节		|2017-01-26		|2017-01-27		|2017-02-02		|2017-02-03
清明		|2017-03-31		|2017-04-02		|2017-04-04		|2017-04-05
五一		|2017-04-28		|2017-04-29		|2017-05-01		|2017-05-02
端午		|2017-05-26		|2017-05-28		|2017-05-30		|2017-05-31
中秋/国庆	|2017-09-29		|2017-10-01		|2017-10-08		|2017-10-09
元旦		|2017-12-29		|2017-12-30		|2018-01-01		|2018-01-02
春节		|2018-02-14		|2018-02-15		|2018-02-21		|2018-02-22
清明		|2018-04-04		|2018-04-05		|2018-04-07		|2018-04-09
五一		|2018-04-27		|2018-04-29		|2018-05-01		|2018-05-02
端午		|2018-06-15		|2018-06-16		|2018-06-18		|2018-06-19
中秋		|2018-09-21		|2018-09-22		|2018-09-24		|2018-09-25
国庆		|2018-09-28		|2018-10-01		|2018-10-07		|2018-10-08
